timestamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
2011-05-01 12:00:10,13,84,32.46,23.09,1
2011-05-01 12:00:20,10,84,32.46,23.09,1
2011-05-01 12:00:30,11,84,32.46,23.09,1
2011-05-01 12:00:40,12,84,32.46,23.09,1
2011-05-01 12:00:50,12,84,32.46,23.09,1
2011-05-01 12:01:00,9,84,32.46,23.09,2
2011-05-01 12:01:10,13,84,32.46,23.09,2
2011-05-01 12:01:20,10,84,32.46,23.09,2
2011-05-01 12:01:30,9,85,32.46,23.09,2
2011-05-01 12:01:40,9,85,32.46,23.09,2
2011-05-01 12:01:50,9,85,32.46,23.09,2
2011-05-01 12:02:00,9,85,32.47,23.09,1
2011-05-01 12:02:10,11,85,32.47,23.09,1
2011-05-01 12:02:20,10,84,32.47,23.09,1
2011-05-01 12:02:30,8,84,32.47,23.09,1
2011-05-01 12:02:40,7,84,32.47,23.09,1
2011-05-01 12:02:50,7,84,32.47,23.09,1
2011-05-01 12:03:00,7,84,32.47,23.09,1
2011-05-01 12:03:10,9,84,32.47,23.09,1
2011-05-01 12:03:20,9,84,32.47,23.09,1
2011-05-01 12:03:30,8,84,32.47,23.09,1
2011-05-01 12:03:40,7,84,32.47,23.09,1
2011-05-01 12:03:50,9,84,32.47,23.09,1
2011-05-01 12:04:00,9,84,32.47,23.09,2
2011-05-01 12:04:10,12,84,32.47,23.09,2
2011-05-01 12:04:20,10,84,32.47,23.09,2
2011-05-01 12:04:30,11,84,32.47,23.09,2
2011-05-01 12:04:40,11,85,32.47,23.09,2
2011-05-01 12:04:50,11,85,32.47,23.09,2
2011-05-01 12:05:00,10,85,32.47,23.09,2
2011-05-01 12:05:10,12,85,32.47,23.09,2
2011-05-01 12:05:20,10,85,32.47,23.09,2
2011-05-01 12:05:30,10,85,32.47,23.09,2
2011-05-01 12:05:40,10,85,32.47,23.1,2
2011-05-01 12:05:50,14,86,32.47,23.1,2
2011-05-01 12:06:00,22,87,32.47,23.1,2
2011-05-01 12:06:10,26,88,32.47,23.1,2
2011-05-01 12:06:20,28,88,32.47,23.1,2
2011-05-01 12:06:30,24,88,32.47,23.1,2
2011-05-01 12:06:40,23,88,32.47,23.1,2
2011-05-01 12:06:50,25,89,32.47,23.1,2
2011-05-01 12:07:00,27,90,32.47,23.1,6
2011-05-01 12:07:10,29,89,32.47,23.1,6
2011-05-01 12:07:20,31,90,32.47,23.1,6
2011-05-01 12:07:30,31,89,32.47,23.1,6
