minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature
1,excellent,2.56736445,22.86,41.24,29.56,14.83,49.38,11.1,2.21,1.4,32.09,14.29,55.1,34.6
2,excellent,2.567619643,22.75,41.5,29.72,14.83,49.38,11.23,2.23,1.39,31.92,14.58,55.1,34.6
3,excellent,2.567877972,22.75,41.5,29.72,14.83,49.38,11.28,2.22,1.42,34.31,14.4,55.1,34.6
4,excellent,2.568139474,22.86,42.56,29.56,14.77,49.38,11.46,2.22,1.39,34.12,14.64,55.4,34.5
5,excellent,2.568404186,23.07,42.03,29.56,14.83,49.38,11.46,2.22,1.39,33.93,14.58,55.4,34.4
6,excellent,2.568672146,23.18,41.24,29.41,14.77,47.84,11.5,2.21,1.38,32.63,14.64,55.4,34.4
7,excellent,2.568943391,23.07,41.24,28.96,14.77,48.22,11.46,2.21,1.39,32.09,14.64,55.4,34.4
8,excellent,2.569217959,23.28,41.24,28.96,14.71,48.98,11.46,2.22,1.37,33.17,14.76,55.4,34.4
9,excellent,2.569495889,22.96,40.99,29.26,14.77,48.22,11.19,2.19,1.39,32.45,14.34,55.4,34.5
10,excellent,2.569777221,23.07,40.99,29.11,14.71,48.22,11.23,2.22,1.4,32.09,14.23,55.4,34.5
11,excellent,2.570061992,22.75,41.76,29.56,14.83,48.6,11.06,2.21,1.4,31.92,14.46,55.8,34.5
12,excellent,2.570350244,22.96,41.24,29.26,14.71,48.98,11.01,2.23,1.39,31.74,14.58,55.8,34.5
13,excellent,2.570642017,23.18,41.5,29.26,14.71,48.98,11.19,2.21,1.42,32.27,14.7,55.8,34.4
14,excellent,2.57093735,23.07,42.03,29.11,14.77,48.98,11.06,2.21,1.4,31.92,14.52,55.8,34.4
15,excellent,2.571236285,22.96,41.76,29.87,14.83,48.98,10.63,2.21,1.39,31.4,14.58,55.8,34.4
16,excellent,2.571538863,23.39,42.29,29.87,14.95,48.22,11.01,2.19,1.4,30.9,14.76,55.8,34.3
17,excellent,2.571845127,23.18,42.29,29.87,14.77,48.6,10.97,2.21,1.4,30.57,14.52,55.8,34.3
18,excellent,2.572155118,23.5,41.5,29.41,14.71,49.77,10.84,2.21,1.39,30.57,14.76,55.8,34.2
19,excellent,2.572468879,23.18,42.03,29.87,14.83,49.38,10.55,2.21,1.42,30.41,14.82,55.8,34.2
20,excellent,2.572786453,23.39,42.56,29.87,14.83,49.38,10.72,2.19,1.42,30.25,14.58,55.8,34.2
21,excellent,2.573107884,23.61,41.5,29.56,14.71,48.98,10.76,2.19,1.42,30.25,14.82,55.8,34.1
22,excellent,2.573433215,23.61,41.76,29.41,14.71,48.98,10.93,2.21,1.43,31.57,14.7,56.2,34.1
23,excellent,2.573762491,23.5,41.76,29.56,14.71,48.98,11.15,2.19,1.42,30.9,14.82,56.2,34.1
24,excellent,2.574095757,23.61,41.5,29.72,14.83,49.38,11.28,2.19,1.4,30.41,14.82,56.2,34.1
25,excellent,2.574433058,23.72,41.24,29.56,14.71,48.98,11.37,2.21,1.4,29.93,14.82,56.2,34.1
26,excellent,2.574774439,23.39,41.24,29.87,14.71,48.22,11.46,2.19,1.4,29.46,14.94,56.2,34.1
27,excellent,2.575119947,23.61,41.24,29.41,14.77,48.98,11.41,2.21,1.39,33.74,14.88,56.2,34
28,excellent,2.575469629,25.85,38.33,28.09,14.83,47.84,8.61,2.19,1.38,32.45,15.75,56.2,33.9
29,excellent,2.57582353,25.85,37.65,28.23,14.95,47.84,8.24,2.21,1.4,33.36,15.95,56.2,34
30,excellent,2.576181699,26.1,37.88,27.81,14.83,48.6,8.24,2.21,1.4,32.99,16.08,56.2,34
31,excellent,2.576544184,25.85,37.88,28.09,14.95,48.22,7.18,2.19,1.38,32.63,15.88,56.2,34.1
32,excellent,2.576911033,25.72,37.88,27.95,14.89,48.22,7.5,2.21,1.39,32.81,16.08,56.2,34.1
33,excellent,2.577282294,25.85,38.1,27.95,14.83,47.47,7.56,2.19,1.34,32.27,15.88,56.2,34.1
34,excellent,2.577658017,25.85,37.88,27.81,14.89,47.84,6.87,2.19,1.37,32.81,15.88,56.2,34.1
35,excellent,2.578038252,26.1,37.88,27.67,14.77,48.98,7.47,2.19,1.39,32.45,15.56,56.2,34.2
36,excellent,2.578423048,26.1,37.65,27.67,14.83,48.98,7.65,2.19,1.4,32.45,15.69,56.2,34.1
37,excellent,2.578812457,25.85,37.88,27.67,14.89,48.6,7.86,2.21,1.38,32.63,15.56,56.2,34.1
38,excellent,2.579206529,25.85,37.43,27.67,14.89,48.6,7.53,2.21,1.39,32.63,15.69,56.2,34.1
39,excellent,2.579605316,25.85,37.43,27.53,14.89,48.6,7.44,2.19,1.4,32.81,15.88,56.2,34.1
40,excellent,2.58000887,25.72,37.65,27.53,14.83,47.84,7.47,2.21,1.39,32.81,15.5,56.2,34.1
41,excellent,2.580417243,26.1,36.99,27.25,14.77,48.22,7.15,2.21,1.38,32.27,15.43,56.2,34.1
42,excellent,2.580830489,25.85,37.65,27.53,14.89,47.84,7.12,2.19,1.38,32.45,15.88,56.2,34.1
43,excellent,2.581248661,25.72,37.43,27.53,14.83,48.6,7.18,2.18,1.38,32.09,15.56,56.2,34.1
44,excellent,2.581671812,25.97,37.21,27.25,14.77,47.47,7.38,2.21,1.4,32.81,15.95,56.2,34.1
45,excellent,2.582099998,26.1,36.57,27.12,14.77,48.6,7.29,2.19,1.4,32.63,15.5,56.2,34.1
46,excellent,2.582533272,25.85,37.21,27.25,14.83,48.6,7.53,2.19,1.38,32.45,15.31,56.2,34.1
47,excellent,2.582971691,26.1,36.35,27.12,14.71,48.6,6.84,2.18,1.39,32.63,15.62,56.2,34.1
48,excellent,2.58341531,25.72,36.57,27.25,14.71,47.47,7.41,2.19,1.38,32.27,15.56,56.2,34.1
49,excellent,2.583864184,25.72,36.78,27.12,14.36,49.38,7.38,2.18,1.37,32.09,15.56,56.5,34.1
