Light,Temp_Air,Temp_Soil,Soil_Moisture_1,Soil_Moisture_2,Soil_Moisture_3
0.0,-0.03125,0.0,-0.5,1.0,0.0
1.0,-0.0625,0.0,1.5,0.0,-0.5
2.5,-0.03125,0.0,-1.0,0.0,0.5
0.0,-0.03125,0.0,0.0,0.5,0.5
0.0,-0.03125,0.0,0.5,-0.5,-1.5
1.0,-0.03125,0.0,1.5,0.0,1.0
-2.0,0.0,0.03125,-1.5,1.0,0.0
-0.5,-0.03125,-0.03125,-1.0,-0.5,0.5
0.5,-0.03125,0.0,0.5,-0.5,-0.5
-1.0,0.0,0.03125,1.5,0.5,0.5
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,-0.03125,-1.0,1.0,-2.0
-3.0,-0.03125,0.03125,1.5,-1.0,1.0
-1.0,0.0,-0.03125,-1.5,-0.5,-1.5
0.5,-0.03125,0.0,0.5,-0.5,0.0
-0.5,0.0,0.03125,-0.5,-0.5,-0.5
0.0,0.0,-0.03125,1.0,1.0,0.5
-3.0,-0.03125,0.03125,0.0,0.5,0.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,-0.03125,0.0,0.5,2.0,-0.5
1.0,0.0,-0.03125,-1.0,-1.0,0.0
-2.5,0.0,0.03125,-0.5,-0.5,0.5
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,0.0,-0.03125,0.0,-1.0,-2.0
1.0,0.0,0.03125,0.0,-0.5,2.0
0.0,-0.03125,0.0,0.0,1.5,0.0
0.0,0.0,0.0,1.0,-0.5,-1.0
-1.5,0.4375,0.5,-25.0,5.0,3.5
3.0,-0.5,-0.8000000000000007,25.0,-5.0,-4.5
-1.5,0.0625,0.9875000000000007,1.0,-1.5,1.0
-7.5,0.0,-0.6875,-1.0,1.5,0.0
5.5,-0.0625,0.0,-1.5,-1.0,1.5
2.0,-0.8874999999999993,1.5999999999999996,1.0,3.5,-1.5
-1.5,1.4812499999999993,-0.13124999999999964,3.5,1.0,0.5
0.5,0.15625,-1.46875,10.5,-2.5,4.5
2.0,-0.75,0.1374999999999993,-18.5,3.5,-5.5
1.5,0.46875,-0.1687499999999993,4.0,-5.0,1.5
-1.0,0.03125,0.71875,5.0,-0.5,0.0
-0.5,0.5,-0.5,-1.0,0.5,-1.0
2.5,-1.125,1.0,2.5,-1.0,0.5
-2.0,0.5,-1.1875,-6.0,2.0,0.5
-0.5,-0.03125,-0.03125,-1.0,-0.5,0.5
0.5,-0.03125,0.0,0.5,-0.5,-0.5
-1.0,0.0,0.03125,1.5,0.5,0.5
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,-0.03125,-1.0,1.0,-2.0
-3.0,-0.03125,0.03125,1.5,-1.0,1.0
-1.0,0.0,-0.03125,-1.5,-0.5,-1.5
0.5,-0.03125,0.0,0.5,-0.5,0.0
-0.5,0.0,0.03125,-0.5,-0.5,-0.5
0.0,0.0,-0.03125,1.0,1.0,0.5
-3.0,-0.03125,0.03125,0.0,0.5,0.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,-0.03125,0.0,0.5,2.0,-0.5
1.0,0.0,-0.03125,-1.0,-1.0,0.0
