Light,Temp_Air,Temp_Soil,Soil_Moisture_1,Soil_Moisture_2,Soil_Moisture_3
0.5,-0.015625,0.0,1.0,-0.5,-0.25
0.75,0.015625,0.0,-1.25,0.0,0.5
-1.25,0.0,0.0,0.5,0.25,0.0
0.0,0.0,0.0,0.25,-0.5,-1.0
0.5,0.0,0.0,0.5,0.25,1.25
-1.5,0.015625,0.015625,-1.5,0.5,-0.5
0.75,-0.015625,-0.03125,0.25,-0.75,0.25
0.5,0.0,0.015625,0.75,0.0,-0.5
-0.75,0.015625,0.015625,0.5,0.5,0.5
0.5,-0.015625,-0.015625,-1.25,-0.5,0.0
0.0,0.015625,0.0,0.75,1.0,0.5
-1.5,-0.015625,-0.015625,-0.75,-0.25,-1.75
0.0,0.0,0.03125,1.25,-1.0,1.5
1.0,0.015625,-0.03125,-1.5,0.25,-1.25
0.75,-0.015625,0.015625,1.0,0.0,0.75
-0.5,0.015625,0.015625,-0.5,0.0,-0.25
0.25,0.0,-0.03125,0.75,0.75,0.5
-1.5,-0.015625,0.03125,-0.5,-0.25,-0.25
1.75,0.015625,-0.015625,0.0,-1.0,0.0
4.5,-0.015625,0.0,0.25,1.75,-0.25
-4.25,0.015625,-0.015625,-0.75,-1.5,0.25
-1.75,0.0,0.03125,0.25,0.25,0.25
1.25,-0.015625,-0.015625,0.25,0.5,-0.25
0.0,0.015625,-0.015625,0.0,-0.75,-1.0
0.5,0.0,0.03125,0.0,0.25,2.0
-0.5,-0.015625,-0.015625,0.0,1.0,-1.0
0.0,0.015625,0.0,0.5,-1.0,-0.5
-0.75,0.21875,0.25,-13.0,2.75,2.25
2.25,-0.46875,-0.6500000000000004,25.0,-5.0,-4.0
-2.25,0.28125,0.8937500000000007,-12.0,1.75,2.75
-3.0,-0.03125,-0.8375000000000004,-1.0,1.5,-0.5
6.5,-0.03125,0.34375,-0.25,-1.25,0.75
-1.75,-0.41249999999999964,0.7999999999999998,1.25,2.25,-1.5
-1.75,1.1843749999999993,-0.8656249999999996,1.25,-1.25,1.0
1.0,-0.6624999999999996,-0.6687500000000002,3.5,-1.75,2.0
0.75,-0.453125,0.8031249999999996,-14.5,3.0,-5.0
-0.25,0.609375,-0.1531249999999993,11.25,-4.25,3.5
-1.25,-0.21875,0.44374999999999964,0.5,2.25,-0.75
0.25,0.234375,-0.609375,-3.0,0.5,-0.5
1.5,-0.8125,0.75,1.75,-0.75,0.75
-2.25,0.8125,-1.09375,-4.25,1.5,0.0
0.75,-0.265625,0.578125,2.5,-1.25,0.0
0.5,0.0,0.015625,0.75,0.0,-0.5
-0.75,0.015625,0.015625,0.5,0.5,0.5
0.5,-0.015625,-0.015625,-1.25,-0.5,0.0
0.0,0.015625,0.0,0.75,1.0,0.5
-1.5,-0.015625,-0.015625,-0.75,-0.25,-1.75
0.0,0.0,0.03125,1.25,-1.0,1.5
1.0,0.015625,-0.03125,-1.5,0.25,-1.25
0.75,-0.015625,0.015625,1.0,0.0,0.75
-0.5,0.015625,0.015625,-0.5,0.0,-0.25
0.25,0.0,-0.03125,0.75,0.75,0.5
-1.5,-0.015625,0.03125,-0.5,-0.25,-0.25
1.75,0.015625,-0.015625,0.0,-1.0,0.0
4.5,-0.015625,0.0,0.25,1.75,-0.25
-4.25,0.015625,-0.015625,-0.75,-1.5,0.25
-1.75,0.0,0.03125,0.25,0.25,0.25
1.25,-0.015625,-0.015625,0.25,0.5,-0.25
0.0,0.015625,-0.015625,0.0,-0.75,-1.0
0.5,0.0,0.03125,0.0,0.25,2.0
-0.5,-0.015625,-0.015625,0.0,1.0,-1.0
0.0,0.015625,0.0,0.5,-1.0,-0.5
-0.75,0.21875,0.25,-13.0,2.75,2.25
2.25,-0.46875,-0.6500000000000004,25.0,-5.0,-4.0
-2.25,0.28125,0.8937500000000007,-12.0,1.75,2.75
-3.0,-0.03125,-0.8375000000000004,-1.0,1.5,-0.5
6.5,-0.03125,0.34375,-0.25,-1.25,0.75
-2.5,0.03125,0.09375,0.75,1.25,-1.0
0.0,0.296875,-0.203125,0.25,-1.75,0.25
-0.25,-0.3125,0.109375,-0.5,1.5,0.0
0.5,-0.015625,0.0,1.0,-0.5,-0.25
0.75,0.015625,0.0,-1.25,0.0,0.5
-1.25,0.0,0.0,0.5,0.25,0.0
0.0,0.0,0.0,0.25,-0.5,-1.0
0.5,0.0,0.0,0.5,0.25,1.25
-1.5,0.015625,0.015625,-1.5,0.5,-0.5
0.75,-0.015625,-0.03125,0.25,-0.75,0.25
0.5,0.0,0.015625,0.75,0.0,-0.5
-0.75,0.015625,0.015625,0.5,0.5,0.5
0.5,-0.015625,-0.015625,-1.25,-0.5,0.0
0.0,0.015625,0.0,0.75,1.0,0.5
-1.5,-0.015625,-0.015625,-0.75,-0.25,-1.75
0.0,0.0,0.03125,1.25,-1.0,1.5
1.0,0.015625,-0.03125,-1.5,0.25,-1.25
0.75,-0.015625,0.015625,1.0,0.0,0.75
-0.5,0.015625,0.015625,-0.5,0.0,-0.25
0.25,0.0,-0.03125,0.75,0.75,0.0
-1.5,-0.015625,0.03125,-0.5,-0.25,0.75
1.75,0.015625,-0.015625,0.0,-1.0,-0.5
4.5,-0.015625,0.0,0.25,1.75,-0.5
-4.25,0.015625,-0.015625,-0.75,-1.5,0.75
-1.75,0.0,0.03125,0.25,0.25,0.0
1.25,-0.015625,-0.015625,0.25,0.5,-0.25
0.0,0.015625,-0.015625,0.0,-0.75,-1.0
0.5,0.0,0.03125,0.0,0.25,2.0
-0.5,-0.015625,0.484375,0.75,1.0,-1.0
0.0,0.015625,-1.0,-1.0,-1.0,-0.25
-0.75,0.21875,0.75,-12.25,2.75,1.75
2.25,-0.46875,-0.6500000000000004,25.0,-5.0,-3.75
-2.25,0.28125,0.8937500000000007,-12.0,1.75,2.75
-3.0,-0.03125,-0.8375000000000004,-1.0,1.5,-0.5
6.5,-0.03125,0.59375,-0.25,-1.25,0.75
-1.75,-0.21875,0.2999999999999998,1.5,0.5,-1.0
-1.5,0.796875,-1.3656249999999996,-1.25,-0.25,0.0
0.5,-0.5625,0.8156249999999998,0.25,0.25,0.5
0.5,-0.015625,0.0,-0.75,0.5,-0.5
0.75,0.015625,0.0,2.25,-0.5,0.5
-1.25,0.0,0.0,-1.25,0.25,0.0
0.0,0.0,0.0,0.25,-0.5,-1.0
0.5,0.0,0.0,0.5,0.25,1.25
-1.5,0.015625,0.015625,-1.5,0.5,-0.5
0.75,-0.015625,-0.03125,0.25,-0.75,0.25
-0.25,0.0,0.015625,0.5,0.0,-0.5
0.75,0.015625,0.015625,1.0,0.5,0.5
-0.25,-0.015625,-0.015625,-1.5,-0.5,0.0
0.0,0.015625,0.0,0.75,1.0,0.5
-1.5,-0.015625,0.34375,-0.75,-0.25,-1.75
0.0,0.0,-0.6875,1.25,-1.0,1.0
1.0,0.015625,0.328125,-1.5,0.25,-0.25
0.75,-0.015625,0.015625,1.0,0.0,0.25
-0.5,0.015625,0.015625,-0.5,0.0,-0.25
0.25,0.0,1.078125,0.75,0.75,0.5
-1.5,-0.015625,-2.1875,-0.5,-0.25,-0.25
1.75,0.015625,1.09375,0.0,-1.0,0.0
4.5,-0.015625,0.0,0.25,1.75,-0.25
-4.25,0.015625,-0.015625,-0.75,-1.5,0.25
-1.75,0.0,0.03125,0.25,0.25,0.25
1.25,-0.015625,-0.015625,0.25,0.5,-0.25
0.0,0.015625,-0.015625,0.0,-0.75,-1.0
0.5,0.0,0.03125,0.0,0.25,1.75
-0.5,-0.015625,-0.015625,0.0,1.0,-0.5
0.0,0.015625,0.0,0.5,-1.0,-0.75
-0.75,0.21875,0.25,-13.0,2.75,2.25
2.25,-0.46875,-0.6500000000000004,25.0,-5.0,-4.0
-2.5,0.28125,0.8937500000000007,-12.0,1.75,2.75
-2.5,-0.03125,-0.8375000000000004,-1.0,1.5,-0.5
6.25,-0.03125,0.34375,-0.25,-1.25,0.75
-1.75,-0.41249999999999964,0.7999999999999998,1.25,2.25,-1.5
-1.5,1.1843749999999993,-1.7562499999999996,-0.75,-3.75,1.5
0.5,-0.7562499999999996,0.9562499999999998,0.0,2.5,-0.75
0.5,-0.015625,0.0,1.0,-0.5,-0.5
0.75,0.015625,0.0,-1.25,0.0,1.0
-1.25,0.0,0.0,0.5,0.25,-0.5
0.0,0.0,0.0,0.25,-0.5,-0.75
0.5,0.0,0.0,0.5,0.25,1.5
-1.5,0.015625,0.15625,-1.5,0.5,-0.75
0.75,-0.015625,-0.3125,0.25,-0.75,0.0
